system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_parquet,L0,daily,q57,hour,1 hour,31,62,200.0,3,0.37873812500038184,0.37873812500038184,0.37685566698201,4
duckdb_parquet,L0,daily,q58,hour,1 hour,31,31,100.0,3,0.47726266700192355,0.47726266700192355,0.4748492499929853,56
duckdb_parquet,L0,daily,q59,hour,1 hour,31,31,100.0,3,0.3450662499817554,0.3450662499817554,0.3431700000073761,28
duckdb_parquet,L0,daily,q510,hour,1 hour,31,31,100.0,3,0.3231292080017738,0.3231292080017738,0.3182436249917373,88
duckdb_parquet,L0,daily,q511,hour,1 hour,31,31,100.0,3,0.31964266698923893,0.31964266698923893,0.3152895839884877,69
duckdb_parquet,L0,daily,q57,day,1 day,31,62,200.0,3,0.7191182080132421,0.7191182080132421,0.6784910839924123,4
duckdb_parquet,L0,daily,q58,day,1 day,31,31,100.0,3,0.8564245830057189,0.8564245830057189,0.837532250006916,99
duckdb_parquet,L0,daily,q59,day,1 day,31,31,100.0,3,0.9232196669909172,0.9232196669909172,0.860008208983345,115
duckdb_parquet,L0,daily,q510,day,1 day,31,31,100.0,3,0.7801297090190928,0.7801297090190928,0.7390670409949962,194
duckdb_parquet,L0,daily,q511,day,1 day,31,31,100.0,3,0.821081291011069,0.821081291011069,0.7591693329741247,163
duckdb_parquet,L0,daily,q57,week,1 week,31,62,200.0,3,3.240183167014038,3.240183167014038,3.0286956669879146,4
duckdb_parquet,L0,daily,q58,week,1 week,31,31,100.0,3,3.843065458990168,3.843065458990168,3.7288470409985166,165
duckdb_parquet,L0,daily,q59,week,1 week,31,31,100.0,3,4.910301083989907,4.910301083989907,4.85572058300022,622
duckdb_parquet,L0,daily,q510,week,1 week,31,31,100.0,3,4.340068582998356,4.340068582998356,4.203963084000861,343
duckdb_parquet,L0,daily,q511,week,1 week,31,31,100.0,3,4.521179291972658,4.521179291972658,4.298100457992405,264
duckdb_parquet,L1,daily,q57,hour,1 hour,496,992,200.0,3,0.33474316698266193,0.33474316698266193,0.32875787501689047,4
duckdb_parquet,L1,daily,q58,hour,1 hour,496,496,100.0,3,0.32508599999709986,0.32508599999709986,0.3133443749975413,56
duckdb_parquet,L1,daily,q59,hour,1 hour,496,496,100.0,3,0.20046183301019482,0.20046183301019482,0.19357941701309755,28
duckdb_parquet,L1,daily,q510,hour,1 hour,496,496,100.0,3,0.1819147499918472,0.1819147499918472,0.1770769169961568,88
duckdb_parquet,L1,daily,q511,hour,1 hour,496,496,100.0,3,0.17840858301497065,0.17840858301497065,0.17526483300025575,69
duckdb_parquet,L1,daily,q57,day,1 day,496,992,200.0,3,0.6695817910076585,0.6695817910076585,0.6588362919865176,4
duckdb_parquet,L1,daily,q58,day,1 day,496,496,100.0,3,0.7945428749953862,0.7945428749953862,0.7920214580080938,99
