Building L2 for 2026-01 from L0=data/L0 → data/layouts/L2_t1000_r50000
  L2: 1792 candidate region cells
  L2 [1/1792] region=(-22,96) rows=1
  L2 [2/1792] region=(-21,91) rows=1
  L2 [3/1792] region=(-21,93) rows=1
  L2 [4/1792] region=(-19,116) rows=1
  L2 [5/1792] region=(-18,83) rows=2
  L2 [6/1792] region=(-18,127) rows=1
  L2 [7/1792] region=(-17,119) rows=1
  L2 [8/1792] region=(-17,127) rows=1
  L2 [9/1792] region=(-14,100) rows=1
  L2 [10/1792] region=(-14,107) rows=1
  L2 [11/1792] region=(-13,104) rows=1
  L2 [12/1792] region=(-11,0) rows=5
  L2 [14/1792] region=(-11,110) rows=1
  L2 [15/1792] region=(-11,127) rows=1
  L2 [23/1792] region=(-10,119) rows=1
  L2 [25/1792] region=(-9,8) rows=0
  L2 [30/1792] region=(-9,115) rows=1
  L2 [31/1792] region=(-9,127) rows=2
  L2 [38/1792] region=(-8,116) rows=1
  L2 [50/1792] region=(-6,27) rows=0
  L2 [59/1792] region=(-5,110) rows=1
  L2 [73/1792] region=(-3,114) rows=4
  L2 [75/1792] region=(-2,46) rows=0
  L2 [80/1792] region=(-2,114) rows=3
  L2 [81/1792] region=(-2,119) rows=1
  L2 [82/1792] region=(-2,120) rows=1
  L2 [83/1792] region=(-2,121) rows=66
  L2 [84/1792] region=(-2,122) rows=29
  L2 [85/1792] region=(-2,125) rows=9
  L2 [86/1792] region=(-2,126) rows=3
  L2 [94/1792] region=(-1,113) rows=1
  L2 [95/1792] region=(-1,114) rows=2
  L2 [96/1792] region=(-1,115) rows=1
  L2 [98/1792] region=(-1,122) rows=1
  L2 [100/1792] region=(-1,126) rows=0
  L2 [101/1792] region=(-1,127) rows=320
  L2 [102/1792] region=(-1,128) rows=334
  L2 [109/1792] region=(0,114) rows=1
  L2 [110/1792] region=(0,121) rows=82
  L2 [112/1792] region=(0,123) rows=49
  L2 [113/1792] region=(0,124) rows=19
  L2 [125/1792] region=(1,115) rows=1
  L2 [127/1792] region=(1,122) rows=4
  L2 [128/1792] region=(1,123) rows=24
  L2 [129/1792] region=(1,124) rows=9
  L2 [139/1792] region=(2,115) rows=1
  L2 [140/1792] region=(2,116) rows=1
  L2 [141/1792] region=(2,121) rows=2
  L2 [142/1792] region=(2,122) rows=20
  L2 [143/1792] region=(2,123) rows=147
  L2 [144/1792] region=(2,124) rows=287
  L2 [145/1792] region=(2,125) rows=23
  L2 [150/1792] region=(3,74) rows=0
  L2 [154/1792] region=(3,114) rows=1
  L2 [155/1792] region=(3,116) rows=1
  L2 [156/1792] region=(3,121) rows=31
  L2 [157/1792] region=(3,122) rows=120
  L2 [158/1792] region=(3,123) rows=1569
  L2 [159/1792] region=(3,124) rows=11203
  L2 [160/1792] region=(3,125) rows=6804
  L2 [161/1792] region=(3,126) rows=26
  L2 [171/1792] region=(4,117) rows=1
  L2 [172/1792] region=(4,118) rows=1
  L2 [173/1792] region=(4,119) rows=1
  L2 [174/1792] region=(4,120) rows=13
  L2 [175/1792] region=(4,121) rows=85
  L2 [176/1792] region=(4,122) rows=5056
  L2 [177/1792] region=(4,123) rows=21345
  L2 [178/1792] region=(4,124) rows=18487
  L2 [179/1792] region=(4,125) rows=12145
  L2 [180/1792] region=(4,126) rows=618
  L2 [189/1792] region=(5,118) rows=6
  L2 [190/1792] region=(5,119) rows=126
  L2 [191/1792] region=(5,120) rows=173
  L2 [192/1792] region=(5,121) rows=1278
  L2 [193/1792] region=(5,122) rows=27890
  L2 [194/1792] region=(5,123) rows=21875
  L2 [195/1792] region=(5,124) rows=9150
  L2 [196/1792] region=(5,125) rows=6208
  L2 [197/1792] region=(5,126) rows=665
  L2 [198/1792] region=(5,127) rows=113
  L2 [200/1792] region=(6,89) rows=0
  L2 [206/1792] region=(6,118) rows=26
  L2 [207/1792] region=(6,119) rows=1231
  L2 [208/1792] region=(6,120) rows=1872
  L2 [209/1792] region=(6,121) rows=756
  L2 [210/1792] region=(6,122) rows=8897
  L2 [211/1792] region=(6,123) rows=17283
  L2 [212/1792] region=(6,124) rows=6881
  L2 [213/1792] region=(6,125) rows=1487
  L2 [214/1792] region=(6,126) rows=171
  L2 [215/1792] region=(6,127) rows=37
  L2 [216/1792] region=(6,128) rows=8
  L2 [223/1792] region=(7,111) rows=4
  L2 [224/1792] region=(7,118) rows=42
  L2 [225/1792] region=(7,119) rows=4312
  L2 [226/1792] region=(7,120) rows=10415
  L2 [227/1792] region=(7,121) rows=3681
  L2 [228/1792] region=(7,122) rows=15612
  L2 [229/1792] region=(7,123) rows=29929
  L2 [230/1792] region=(7,124) rows=33959
  L2 [231/1792] region=(7,125) rows=23363
  L2 [232/1792] region=(7,126) rows=6751
  L2 [233/1792] region=(7,127) rows=412
  L2 [234/1792] region=(7,128) rows=57
  L2 [242/1792] region=(8,118) rows=831
  L2 [243/1792] region=(8,119) rows=16135
  L2 [244/1792] region=(8,120) rows=15338
  L2 [245/1792] region=(8,121) rows=13544
  L2 [246/1792] region=(8,122) rows=38182
  L2 [247/1792] region=(8,123) rows=23647
  L2 [248/1792] region=(8,124) rows=37461
  L2 [249/1792] region=(8,125) rows=105094
  L2 [250/1792] region=(8,126) rows=144177
  L2 [251/1792] region=(8,127) rows=39402
  L2 [252/1792] region=(8,128) rows=1716
  L2 [259/1792] region=(9,117) rows=13
  L2 [260/1792] region=(9,118) rows=2577
  L2 [261/1792] region=(9,119) rows=21812
  L2 [262/1792] region=(9,120) rows=10068
  L2 [263/1792] region=(9,121) rows=30908
  L2 [264/1792] region=(9,122) rows=55031
  L2 [265/1792] region=(9,123) rows=34
  L2 [267/1792] region=(9,125) rows=15099
  L2 [268/1792] region=(9,126) rows=75990
  L2 [269/1792] region=(9,127) rows=179433
  L2 [270/1792] region=(9,128) rows=35917
  L2 [271/1792] region=(9,129) rows=496
  L2 [272/1792] region=(10,0) rows=50
  L2 [275/1792] region=(10,3) rows=0
  L2 [300/1792] region=(10,28) rows=0
  L2 [310/1792] region=(10,38) rows=32
  L2 [325/1792] region=(10,53) rows=0
  L2 [350/1792] region=(10,78) rows=0
  L2 [375/1792] region=(10,103) rows=0
  L2 [390/1792] region=(10,118) rows=2751
  L2 [391/1792] region=(10,119) rows=23166
  L2 [392/1792] region=(10,120) rows=42336
  L2 [393/1792] region=(10,121) rows=7233
  L2 [394/1792] region=(10,122) rows=13543
  L2 [395/1792] region=(10,123) rows=7996
  L2 [397/1792] region=(10,125) rows=6176
  L2 [398/1792] region=(10,126) rows=2512
  L2 [399/1792] region=(10,127) rows=132969
  L2 [400/1792] region=(10,128) rows=134318
  L2 [401/1792] region=(10,129) rows=13165
  L2 [402/1792] region=(10,130) rows=1139
  L2 [403/1792] region=(10,131) rows=82
