### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [173/376] region=(11,128) rows=218082
  L2 [174/376] region=(11,129) rows=17039
  L2 [175/376] region=(11,130) rows=2863
  L2 [176/376] region=(11,131) rows=1402
  L2 [177/376] region=(11,132) rows=85
  L2 [178/376] region=(12,117) rows=2
  L2 [179/376] region=(12,119) rows=9465
  L2 [180/376] region=(12,120) rows=97699
  L2 [181/376] region=(12,121) rows=250853
  L2 [182/376] region=(12,122) rows=137339
  L2 [183/376] region=(12,123) rows=147723
  L2 [184/376] region=(12,124) rows=169343
  L2 [185/376] region=(12,125) rows=55397
  L2 [186/376] region=(12,126) rows=25192
  L2 [187/376] region=(12,127) rows=257211
  L2 [188/376] region=(12,128) rows=156747
  L2 [189/376] region=(12,129) rows=13307
  L2 [190/376] region=(12,130) rows=512
  L2 [191/376] region=(12,131) rows=68
  L2 [192/376] region=(13,115) rows=24
  L2 [196/376] region=(13,119) rows=846
  L2 [197/376] region=(13,120) rows=250327
  L2 [198/376] region=(13,121) rows=50917
  L2 [199/376] region=(13,122) rows=5263
  L2 [200/376] region=(13,123) rows=7379
  L2 [201/376] region=(13,124) rows=51935
  L2 [202/376] region=(13,125) rows=185530
  L2 [203/376] region=(13,126) rows=215651
  L2 [204/376] region=(13,127) rows=260491
  L2 [205/376] region=(13,128) rows=35626
  L2 [206/376] region=(13,129) rows=160
  L2 [207/376] region=(14,119) rows=474
  L2 [208/376] region=(14,120) rows=133978
  L2 [209/376] region=(14,121) rows=232093
  L2 [210/376] region=(14,122) rows=108998
  L2 [211/376] region=(14,123) rows=161106
  L2 [212/376] region=(14,124) rows=182078
  L2 [213/376] region=(14,125) rows=40961
  L2 [214/376] region=(14,126) rows=3732
  L2 [215/376] region=(14,129) rows=64
  L2 [216/376] region=(14,130) rows=78
  L2 [225/376] region=(15,120) rows=1676
  L2 [226/376] region=(15,121) rows=164643
  L2 [227/376] region=(15,122) rows=123993
  L2 [228/376] region=(15,123) rows=3977
  L2 [229/376] region=(15,124) rows=1
  L2 [232/376] region=(15,130) rows=7
  L2 [233/376] region=(15,131) rows=1
  L2 [234/376] region=(16,100) rows=48
  L2 [249/376] region=(16,119) rows=3203
  L2 [250/376] region=(16,120) rows=17675
  L2 [251/376] region=(16,121) rows=81735
  L2 [252/376] region=(16,122) rows=288508
  L2 [253/376] region=(16,123) rows=14060
  L2 [254/376] region=(16,124) rows=1557
  L2 [257/376] region=(16,128) rows=8
  L2 [258/376] region=(17,113) rows=20
  L2 [263/376] region=(17,118) rows=280
  L2 [264/376] region=(17,119) rows=1303
  L2 [265/376] region=(17,120) rows=3382
  L2 [266/376] region=(17,121) rows=38805
  L2 [267/376] region=(17,122) rows=51105
  L2 [268/376] region=(17,123) rows=232979
  L2 [269/376] region=(17,124) rows=12867
  L2 [273/376] region=(18,120) rows=1353
  L2 [274/376] region=(18,121) rows=39983
  L2 [275/376] region=(18,122) rows=19312
  L2 [276/376] region=(18,123) rows=109581
  L2 [277/376] region=(18,124) rows=27591
